Years before Present ,Sea level below present
0,0
26,-0.21
52,-0.21
78,-0.21
104,-0.21
130,-0.21
156,-0.21
182,-0.21
208,-0.21
234,-0.21
260,-0.21
286,-0.21
312,-0.21
338,-0.21
364,-0.21
390,-0.21
416,-0.21
442,-0.21
468,-0.21
494,-0.21
520,-0.21
546,-0.21
572,-0.21
598,-0.21
624,-0.21
650,-0.21
676,-0.21
702,-0.21
728,-0.21
754,-0.21
780,-0.21
806,-0.21
832,-0.21
858,-0.21
884,-0.21
910,-0.21
936,-0.21
962,-0.21
988,-0.21
1014,-0.21
1040,-0.22
1066,-0.22
1092,-0.22
1118,-0.22
1144,-0.22
1170,-0.22
1196,-0.22
1222,-0.23
1248,-0.23
1274,-0.23
1300,-0.23
1326,-0.23
1352,-0.23
1378,-0.23
1404,-0.23
1430,-0.24
1456,-0.24
1482,-0.24
1508,-0.24
1534,-0.25
1560,-0.25
1586,-0.25
1612,-0.25
1638,-0.25
1664,-0.25
1690,-0.25
1716,-0.25
1742,-0.26
1768,-0.26
1794,-0.26
1820,-0.26
1846,-0.27
1872,-0.27
1898,-0.27
1924,-0.27
1950,-0.28
1976,-0.28
2002,-0.28
2028,-0.29
2054,-0.29
2080,-0.29
2106,-0.29
2132,-0.29
2158,-0.29
2184,-0.29
2210,-0.29
2236,-0.3
2262,-0.3
2288,-0.3
2314,-0.31
2340,-0.33
2366,-0.35
2392,-0.37
2418,-0.38
2444,-0.42
2470,-0.43
2496,-0.44
2522,-0.45
2548,-0.47
2574,-0.48
2600,-0.49
2626,-0.52
2652,-0.54
2678,-0.56
2704,-0.58
2730,-0.6
2756,-0.62
2782,-0.64
2808,-0.66
2834,-0.68
2860,-0.7
2886,-0.72
2912,-0.74
2938,-0.76
2964,-0.78
2990,-0.79
3016,-0.8
3042,-0.81
3068,-0.82
3094,-0.83
3120,-0.85
3146,-0.87
3172,-0.88
3198,-0.9
3224,-0.92
3250,-0.93
3276,-0.95
3302,-0.96
3328,-0.97
3354,-0.99
3380,-1.02
3406,-1.03
3432,-1.04
3458,-1.06
3484,-1.08
3510,-1.1
3536,-1.11
3562,-1.13
3588,-1.15
3614,-1.17
3640,-1.19
3666,-1.21
3692,-1.23
3718,-1.25
3744,-1.27
3770,-1.29
3796,-1.31
3822,-1.33
3848,-1.35
3874,-1.37
3900,-1.39
3926,-1.41
3952,-1.43
